x,y,z,yaw,velocity,change_flag
-22.8871,18.0618,2.3103,-2.8479,3.0993,0
-23.8922,18.0198,2.3515,-3.0671,3.9569,0
-24.9097,17.935,2.467,-3.0856,3.8473,0
-25.9694,17.9192,2.5254,3.1071,6.0517,0
-26.9965,17.9997,2.4766,3.1103,2.406,0
-28.0149,18.0835,2.6044,3.1006,3.6098,0
-29.0297,18.1297,2.5658,3.0857,3.7914,0
-30.0902,18.1694,2.597,3.079,3.0821,0
-31.1406,18.1707,2.687,3.0913,4.7181,0
-32.1547,18.2128,2.709,3.0936,1.6752,0
-33.2486,18.2867,2.7359,3.103,4.3755,0
-34.26,18.3582,2.8196,3.0955,1.3203,0
-35.2617,18.4314,2.8351,3.09,3.0737,0
-36.2811,18.4632,2.8753,-3.0967,2.2321,0
-37.3626,18.4305,2.8972,-3.1166,4.9961,0
-38.4207,18.4037,2.987,-3.1012,3.0246,0
-38.5946,17.3659,2.8975,-1.6635,2.3489,0
-38.7386,16.3461,2.8143,-1.6741,2.218,0
-38.8783,15.3394,2.6415,-1.679,1.501,0
-38.9672,14.305,2.5845,-1.6706,3.5465,0
-39.0737,13.2792,2.4175,-1.6603,2.7591,0
-39.1514,12.2302,2.3238,-1.6561,2.9844,0
-39.2336,11.1988,2.2557,-1.6474,3.9261,0
-39.2964,10.1752,2.0756,-1.6348,2.3129,0
-39.3999,9.0962,1.968,-1.6348,3.7246,0
-39.4944,8.0369,1.86,-1.6179,3.7345,0
-39.5954,6.922,1.6845,-1.6285,5.7263,0
-39.6543,5.8955,1.599,-1.6344,3.7834,0
-39.6986,4.8627,1.5351,-1.6018,1.8171,0
-39.6661,3.7941,1.3548,-1.4774,2.7891,0
-39.5876,2.7349,1.2597,-1.4848,3.1995,0
-39.4261,1.7074,1.1262,-1.4895,3.3311,0
-39.2925,0.6943,0.9953,-1.3234,2.2109,0
-38.4326,0.1728,0.8858,-0.4788,2.4176,0
-37.4481,-0.0343,0.8005,-0.0988,2.5416,0
-36.4167,-0.1708,0.7885,-0.087,4.0512,0
-35.3835,-0.3151,0.7209,-0.0755,3.2789,0
-34.388,-0.532,0.6907,-0.0152,3.5668,0
-33.3849,-0.4384,0.6219,0.0208,3.9331,0
-32.3768,-0.4198,0.6122,0.0172,3.7941,0
-31.363,-0.4052,0.6127,0.0095,3.5483,0
-30.3499,-0.3989,0.5805,0.0053,5.7921,0
-29.3442,-0.4336,0.6017,-0.0052,1.1299,0
-28.2954,-0.4783,0.5108,-0.0073,4.5809,0
-27.2776,-0.5289,0.4958,-0.0228,3.0643,0
-26.2731,-0.5653,0.5224,-0.0255,2.7331,0
-25.2623,-0.5968,0.4469,-0.0273,2.2819,0
